# tracer: nop
#
# entries-in-buffer/entries-written: 11582/11582   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [001] d.s4. 33322.161911: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00100100
          <idle>-0       [001] d.s4. 33322.161913: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000000
   kworker/u64:3-114918  [001] d..3. 33322.706867: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104114
   kworker/u64:3-114918  [001] d..3. 33322.706870: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104101
   kworker/u64:3-114918  [001] d..3. 33322.706872: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040100
   kworker/u64:3-114918  [001] d..3. 33322.706874: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040001
   kworker/u64:3-114918  [001] d..3. 33322.706876: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00101000
   kworker/u64:3-114918  [001] d..3. 33322.706878: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000100
   kworker/u64:3-114918  [001] ..... 33322.706909: amdgpu_device_wreg: 0x1638, 0x00005050, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706910: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000001
   kworker/u64:3-114918  [001] ..... 33322.706915: amdgpu_device_wreg: 0x1638, 0x00003adc, 0x00000040
   kworker/u64:3-114918  [001] ..... 33322.706917: amdgpu_device_wreg: 0x1638, 0x00003d70, 0x00000040
   kworker/u64:3-114918  [001] ..... 33322.706919: amdgpu_device_wreg: 0x1638, 0x00003adb, 0x04100200
   kworker/u64:3-114918  [001] ..... 33322.706921: amdgpu_device_wreg: 0x1638, 0x00003ac9, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706922: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:3-114918  [001] ..... 33322.706923: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706924: amdgpu_device_wreg: 0x1638, 0x00003ad4, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706925: amdgpu_device_wreg: 0x1638, 0x00003ad3, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33322.706926: amdgpu_device_wreg: 0x1638, 0x00003ad2, 0xb1f00000
   kworker/u64:3-114918  [001] ..... 33322.706926: amdgpu_device_wreg: 0x1638, 0x00003ad7, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706927: amdgpu_device_wreg: 0x1638, 0x00003ad6, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706928: amdgpu_device_wreg: 0x1638, 0x00003acf, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706929: amdgpu_device_wreg: 0x1638, 0x00003ace, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706929: amdgpu_device_wreg: 0x1638, 0x00003acd, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706930: amdgpu_device_wreg: 0x1638, 0x00003acc, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706931: amdgpu_device_wreg: 0x1638, 0x00003acb, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33322.706932: amdgpu_device_wreg: 0x1638, 0x00003aca, 0xb1000000
   kworker/u64:3-114918  [001] ..... 33322.706934: amdgpu_device_wreg: 0x1638, 0x00003d6f, 0x04100200
   kworker/u64:3-114918  [001] ..... 33322.706935: amdgpu_device_wreg: 0x1638, 0x00003d5d, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706937: amdgpu_device_wreg: 0x1638, 0x00003d6e, 0x00000606
   kworker/u64:3-114918  [001] ..... 33322.706937: amdgpu_device_wreg: 0x1638, 0x00003d69, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706938: amdgpu_device_wreg: 0x1638, 0x00003d68, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706939: amdgpu_device_wreg: 0x1638, 0x00003d67, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33322.706940: amdgpu_device_wreg: 0x1638, 0x00003d66, 0xb1f00000
   kworker/u64:3-114918  [001] ..... 33322.706941: amdgpu_device_wreg: 0x1638, 0x00003d6b, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706941: amdgpu_device_wreg: 0x1638, 0x00003d6a, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706943: amdgpu_device_wreg: 0x1638, 0x00003d63, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706944: amdgpu_device_wreg: 0x1638, 0x00003d62, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706945: amdgpu_device_wreg: 0x1638, 0x00003d61, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706947: amdgpu_device_wreg: 0x1638, 0x00003d60, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706948: amdgpu_device_wreg: 0x1638, 0x00003d5f, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33322.706951: amdgpu_device_wreg: 0x1638, 0x00003d5e, 0xb1000000
   kworker/u64:3-114918  [001] ..... 33322.706953: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.706957: amdgpu_device_wreg: 0x1638, 0x00004ffa, 0x00000001
          <idle>-0       [001] d.h1. 33322.711447: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33322.711454: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1. 33322.711472: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00070101
          <idle>-0       [001] d.h1. 33322.728131: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33322.728139: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1. 33322.744823: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33322.744831: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.s3. 33322.745839: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00114101
          <idle>-0       [001] d.s3. 33322.745841: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100101
          <idle>-0       [001] d.s4. 33322.745845: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100111
          <idle>-0       [001] d.s4. 33322.745846: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100100
          <idle>-0       [001] d.s4. 33322.745849: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040101
          <idle>-0       [001] d.s4. 33322.745851: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040000
          <idle>-0       [001] d.s4. 33322.745853: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00100100
          <idle>-0       [001] d.s4. 33322.745855: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000000
   kworker/u64:3-114918  [001] d..3. 33323.204424: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104114
   kworker/u64:3-114918  [001] d..3. 33323.204425: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104101
   kworker/u64:3-114918  [001] d..3. 33323.204427: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040100
   kworker/u64:3-114918  [001] d..3. 33323.204428: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040001
   kworker/u64:3-114918  [001] d..3. 33323.204430: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00101000
   kworker/u64:3-114918  [001] d..3. 33323.204431: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000100
   kworker/u64:3-114918  [001] ..... 33323.204509: amdgpu_device_wreg: 0x1638, 0x00005050, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204509: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000001
   kworker/u64:3-114918  [001] ..... 33323.204513: amdgpu_device_wreg: 0x1638, 0x00003adc, 0x00000040
   kworker/u64:3-114918  [001] ..... 33323.204515: amdgpu_device_wreg: 0x1638, 0x00003d70, 0x00000040
   kworker/u64:3-114918  [001] ..... 33323.204517: amdgpu_device_wreg: 0x1638, 0x00003adb, 0x04100200
   kworker/u64:3-114918  [001] ..... 33323.204518: amdgpu_device_wreg: 0x1638, 0x00003ac9, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204520: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:3-114918  [001] ..... 33323.204520: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204521: amdgpu_device_wreg: 0x1638, 0x00003ad4, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204521: amdgpu_device_wreg: 0x1638, 0x00003ad3, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33323.204522: amdgpu_device_wreg: 0x1638, 0x00003ad2, 0xb3f00000
   kworker/u64:3-114918  [001] ..... 33323.204523: amdgpu_device_wreg: 0x1638, 0x00003ad7, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204523: amdgpu_device_wreg: 0x1638, 0x00003ad6, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204524: amdgpu_device_wreg: 0x1638, 0x00003acf, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204524: amdgpu_device_wreg: 0x1638, 0x00003ace, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204525: amdgpu_device_wreg: 0x1638, 0x00003acd, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204525: amdgpu_device_wreg: 0x1638, 0x00003acc, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204526: amdgpu_device_wreg: 0x1638, 0x00003acb, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33323.204527: amdgpu_device_wreg: 0x1638, 0x00003aca, 0xb3000000
   kworker/u64:3-114918  [001] ..... 33323.204528: amdgpu_device_wreg: 0x1638, 0x00003d6f, 0x04100200
   kworker/u64:3-114918  [001] ..... 33323.204529: amdgpu_device_wreg: 0x1638, 0x00003d5d, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204531: amdgpu_device_wreg: 0x1638, 0x00003d6e, 0x00000606
   kworker/u64:3-114918  [001] ..... 33323.204531: amdgpu_device_wreg: 0x1638, 0x00003d69, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204532: amdgpu_device_wreg: 0x1638, 0x00003d68, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204532: amdgpu_device_wreg: 0x1638, 0x00003d67, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33323.204533: amdgpu_device_wreg: 0x1638, 0x00003d66, 0xb3f00000
   kworker/u64:3-114918  [001] ..... 33323.204534: amdgpu_device_wreg: 0x1638, 0x00003d6b, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204534: amdgpu_device_wreg: 0x1638, 0x00003d6a, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204535: amdgpu_device_wreg: 0x1638, 0x00003d63, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204535: amdgpu_device_wreg: 0x1638, 0x00003d62, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204536: amdgpu_device_wreg: 0x1638, 0x00003d61, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204536: amdgpu_device_wreg: 0x1638, 0x00003d60, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204537: amdgpu_device_wreg: 0x1638, 0x00003d5f, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33323.204538: amdgpu_device_wreg: 0x1638, 0x00003d5e, 0xb3000000
   kworker/u64:3-114918  [001] ..... 33323.204539: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000000
   kworker/u64:3-114918  [001] ..... 33323.204541: amdgpu_device_wreg: 0x1638, 0x00004ffa, 0x00000001
          <idle>-0       [001] d.h1. 33323.211566: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33323.211798: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1. 33323.211817: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00070101
