09:20:23.330437 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.114 tell 192.168.1.1, length 46
09:20:23.380234 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.115 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:23.452727 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.128 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:23.452758 b0:41:6f:0c:e4:25 > d4:6a:91:ce:70:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.128 is-at b0:41:6f:0c:e4:25, length 28
09:20:23.472799 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.108 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:23.544696 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.112 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:23.617017 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.109 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:23.725096 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.113 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:23.796655 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 169.254.243.9 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:23.869133 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 169.254.58.193 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:23.941020 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.132 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.013478 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.121 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.101840 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.102 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.177261 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.106 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
