# tracer: nop
#
# entries-in-buffer/entries-written: 1428/1428   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u64:4-5436    [009] .....  1210.127919: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:4-5436    [009] .....  1210.127920: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127920: amdgpu_device_wreg: 0x1638, 0x00003ad4, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127921: amdgpu_device_wreg: 0x1638, 0x00003ad3, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.127921: amdgpu_device_wreg: 0x1638, 0x00003ad2, 0xbaf00000
   kworker/u64:4-5436    [009] .....  1210.127922: amdgpu_device_wreg: 0x1638, 0x00003ad7, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127922: amdgpu_device_wreg: 0x1638, 0x00003ad6, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127923: amdgpu_device_wreg: 0x1638, 0x00003acf, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127923: amdgpu_device_wreg: 0x1638, 0x00003ace, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127924: amdgpu_device_wreg: 0x1638, 0x00003acd, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127925: amdgpu_device_wreg: 0x1638, 0x00003acc, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127925: amdgpu_device_wreg: 0x1638, 0x00003acb, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.127926: amdgpu_device_wreg: 0x1638, 0x00003aca, 0xba000000
   kworker/u64:4-5436    [009] .....  1210.127929: amdgpu_device_wreg: 0x1638, 0x00003d6f, 0x04100200
   kworker/u64:4-5436    [009] .....  1210.127930: amdgpu_device_wreg: 0x1638, 0x00003d5d, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127931: amdgpu_device_wreg: 0x1638, 0x00003d6e, 0x00000606
   kworker/u64:4-5436    [009] .....  1210.127932: amdgpu_device_wreg: 0x1638, 0x00003d69, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127933: amdgpu_device_wreg: 0x1638, 0x00003d68, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127933: amdgpu_device_wreg: 0x1638, 0x00003d67, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.127934: amdgpu_device_wreg: 0x1638, 0x00003d66, 0xbaf00000
   kworker/u64:4-5436    [009] .....  1210.127935: amdgpu_device_wreg: 0x1638, 0x00003d6b, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127935: amdgpu_device_wreg: 0x1638, 0x00003d6a, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127936: amdgpu_device_wreg: 0x1638, 0x00003d63, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127937: amdgpu_device_wreg: 0x1638, 0x00003d62, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127938: amdgpu_device_wreg: 0x1638, 0x00003d61, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127938: amdgpu_device_wreg: 0x1638, 0x00003d60, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127939: amdgpu_device_wreg: 0x1638, 0x00003d5f, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.127940: amdgpu_device_wreg: 0x1638, 0x00003d5e, 0xba000000
   kworker/u64:4-5436    [009] .....  1210.127941: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.127942: amdgpu_device_wreg: 0x1638, 0x00004ffa, 0x00000001
          <idle>-0       [001] d.h1.  1210.141640: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.141645: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1.  1210.141667: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00070101
          <idle>-0       [001] d.h1.  1210.158058: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.158277: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1.  1210.175125: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.175133: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [000] d.s3.  1210.176961: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00114101
          <idle>-0       [000] d.s3.  1210.176965: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100101
          <idle>-0       [000] d.s4.  1210.176969: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100111
          <idle>-0       [000] d.s4.  1210.176971: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100100
          <idle>-0       [000] d.s4.  1210.176973: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040101
          <idle>-0       [000] d.s4.  1210.176975: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040000
          <idle>-0       [000] d.s4.  1210.176977: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00100100
          <idle>-0       [000] d.s4.  1210.176979: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000000
